id,timezone,venue_id,race_number,distance,condition_id,weather_id,total_pool_one_win,total_pool_one_place,total_pool_two_win,total_pool_two_place,total_pool_three_win,total_pool_three_place
159,7/1/16 19:10,38,4,2400,7,1,105322.26,,96905,26998,35973.8,26998
160,7/1/16 19:15,39,3,1560,5,1,8207.03,,9078,2787.5,8346.19,2787.5
161,7/1/16 19:20,40,3,1600,7,1,79859.33,,49047.5,22029,28287.8,22029
162,7/1/16 19:24,44,2,1400,6,1,13763.26,,5801,1800.5,3119.04,1800.5
163,7/1/16 19:28,36,4,1400,6,2,171917.67,,107317,51140,161402,51140
164,7/1/16 19:32,37,4,2200,5,1,6219.77,,17239.5,4217.5,4446.09,4217.5
165,7/1/16 19:37,41,3,2600,8,2,63110.39,,29272.5,8564,24345,8564
166,7/1/16 19:39,45,2,1200,1,1,3833.79,,3237.5,1131.5,1370,1131.5
167,7/1/16 19:41,42,3,1200,5,1,3468.35,,8850.5,4113,6951.7,4113
168,7/1/16 19:43,46,2,1600,4,1,248.94,,1842,590.5,1928.5,590.5
169,7/1/16 19:45,38,5,1800,7,1,42372.64,,93693,50648.5,37018,50648.5
170,7/1/16 19:49,43,3,1000,3,2,13129.46,,9533.5,3565,23949.2,3565
171,7/1/16 19:53,39,4,1200,5,1,6540.82,,8645,2776,6741.59,2776
172,7/1/16 19:57,40,4,1200,7,1,71461.58,,40320,18184.5,26588.4,18184.5
173,7/1/16 20:01,44,3,1000,6,1,17562.68,,11439,3711,9769.65,3711
174,7/1/16 20:05,36,5,1200,6,2,146970.19,,120018,60403,172631,60403
175,7/1/16 20:09,37,5,2200,5,1,7431.22,,17318,6870.5,9574.3,6870.5
176,7/1/16 20:13,41,4,2044,8,2,28351.73,,32500.5,11149,22010.9,11149
177,7/1/16 20:17,42,4,900,5,1,6743.56,,11235.5,4114.5,7214.34,4114.5
178,7/1/16 20:19,45,3,1200,1,1,778.47,,3799.5,1475.5,1635.5,1475.5
179,7/1/16 20:21,43,4,1000,3,2,1815.49,,7027.5,2642,18096,2642
180,7/1/16 20:25,38,6,1500,7,1,110353.3,,130158,71516,40558.1,71516
181,7/1/16 20:27,46,3,1300,4,1,834.28,,2033,657,2188,657
182,7/1/16 20:29,39,5,1200,5,1,4123.42,,4013.5,1380.5,3675.85,1380.5
183,7/1/16 20:33,19,1,1000,5,1,19524.04,,13598,2681,26596.6,2681
184,7/1/16 20:37,40,5,1600,7,1,131818.69,,114620,48753.5,69611.2,48753.5
185,7/1/16 20:41,44,4,1600,6,1,5110.55,,12716,3533,7530.05,3533
186,7/1/16 20:45,36,6,1400,6,2,166620.89,,130598,66176.1,165551,66176.1
187,7/1/16 20:47,47,1,1200,9,1,4116.6,,3284.5,836.5,5901.12,836.5
188,7/1/16 20:49,37,6,1150,5,1,7426.07,,25050.5,11285,8650.91,11285
189,7/1/16 20:53,41,5,1200,8,2,21044.21,,27533,11161.5,19178.5,11161.5
190,7/1/16 20:55,45,4,1400,1,1,4925.93,,6757,2745,3519,2745
191,7/1/16 20:57,42,5,1800,5,1,6822.27,,10934.5,4749.5,9076.62,4749.5
192,7/1/16 21:01,43,5,1350,3,2,8080.51,,12415,4188,19840.1,4188
193,7/1/16 21:03,46,4,1300,4,1,5360.45,,4489.5,1259,2502,1259
194,7/1/16 21:05,38,7,1350,7,1,110658.43,,196151,87895.9,69008.8,87895.9
195,7/1/16 21:09,39,6,1300,5,1,4046.48,,10202,3424.5,8030.55,3424.5
196,7/1/16 21:13,19,2,1400,5,1,37980.67,,23609.5,7795,40040.1,7795
197,7/1/16 21:17,40,6,1400,7,1,59073.25,,107852,50151.5,63218.4,50151.5
